id,naics_code,code_description,num_establishments_2017,value_x1000_2017,payroll_x1000_2017,num_employees_2017,num_establishments_2012,value_x1000_2012,payroll_x1000_2012,num_employees_2012
388,44719,Other gasoline stations,67,118961,3450,262,140,180745,10759,715
389,448,Clothing and clothing accessories stores,1830,2151613,267159,21619,2020,2515675,272524,22485
390,4481,Clothing stores,1193,1669703,201198,16905,1306,1945631,196734,17353
391,44811,Men's clothing stores,162,141388,19932,1711,195,146546,22213,1719
392,44812,Women's clothing stores,376,291884,39525,3822,338,480718,38896,3412
393,44813,Children's and infants' clothing stores,54,42676,6343,411,58,38000,6687,541
394,44814,Family clothing stores,377,1079191,116128,9361,481,1163906,99738,9849
395,44815,Clothing accessories stores,145,80047,13171,1144,148,57699,18854,1092
396,44819,Other clothing stores,79,34516,6099,455,86,58763,10346,741
397,4482,Shoe stores,431,359889,46857,3519,474,421868,52366,3695
398,44821,Shoe stores,431,359889,46857,3519,n/d,n/d,n/d,n/d
399,4483,"Jewelry, luggage, and leather goods stores",206,122020,19104,1194,240,148174,23422,1437
400,44831,Jewelry stores,197,116194,18601,1171,228,141088,22766,1397
401,44832,Luggage and leather goods stores,9,5825,502,22,12,7086,656,39
402,451,"Sporting goods, hobby, musical instrument, and book stores",286,207100,27780,1924,274,140203,26990,1601
403,4511,"Sporting goods, hobby, and musical instrument stores",212,165963,20631,1440,199,101143,19024,1183
404,45111,Sporting goods stores,109,88613,10602,674,91,49405,7779,377
405,45112,"Hobby, toy, and game stores",25,42286,4129,378,38,16678,5825,475
406,45113,"Sewing, needlework, and piece goods stores",46,17379,3454,223,35,17351,3064,192
407,45114,Musical instrument and supplies stores,32,17685,2445,166,35,17709,2356,139
408,4512,Book stores and news dealers,74,41137,7150,484,75,39059,7967,419
409,45121,Book stores and news dealers,74,41137,7150,484,75,39059,7967,419
410,452,General merchandise stores,324,4493841,503540,25607,339,4024841,364110,25199
411,4522,Department stores,104,1103244,144093,8623,n/d,n/d,n/d,n/d
412,45221,Department stores,104,1103244,144093,8623,n/d,n/d,n/d,n/d
413,4523,"General merchandise stores, including warehouse clubs and supercenters",220,3390596,359447,16984,n/d,n/d,n/d,n/d
414,45231,"General merchandise stores, including warehouse clubs and supercenters",220,3390596,359447,16984,n/d,n/d,n/d,n/d
415,453,Miscellaneous store retailers,556,561501,68804,3902,556,440466,74438,3745
416,4531,Florists,28,6522,1301,81,44,9927,1642,99
417,45311,Florists,28,6522,1301,81,n/d,n/d,n/d,n/d
418,4532,"Office supplies, stationery, and gift stores",249,367006,43698,2493,271,306972,47159,2467
419,45321,Office supplies and stationery stores,124,279036,32333,1641,134,253124,34005,1501
420,45322,"Gift, novelty, and souvenir stores",125,87971,11365,852,137,53848,13154,965
421,4533,Used merchandise stores,14,1322,286,30,10,2373,399,25
422,45331,Used merchandise stores,14,1322,286,30,n/d,n/d,n/d,n/d
423,4539,Other miscellaneous store retailers,265,186652,23520,1297,231,121194,25237,1154
424,45391,Pet and pet supplies stores,103,90370,11621,680,79,57286,9131,433
425,45392,Art dealers,19,16075,925,41,24,10644,1597,74
426,45399,All other miscellaneous store retailers,141,79890,10948,574,126,52167,14392,644
427,454,Nonstore retailers,198,563167,38480,1192,214,225039,28794,1463
428,4541,Electronic shopping and mail-order houses,25,n/d,n/d,n/d,15,32199,2042,95
429,45411,Electronic shopping and mail-order houses,25,n/d,n/d,n/d,n/d,n/d,n/d,n/d
430,4542,Vending machine operators,15,7535,1697,101,30,19316,3260,183
431,45421,Vending machine operators,15,7535,1697,101,n/d,n/d,n/d,n/d
432,4543,Direct selling establishments,158,195825,17527,843,169,173525,23493,1187
433,45431,Fuel dealers,136,180900,15861,784,126,162315,15507,779
434,45439,Other direct selling establishments,22,14925,1665,59,43,11209,7986,407
435,48-49,Transportation and warehousing,982,2345789,424650,15626,918,1918575,356088,13716
436,481,Air transportation,32,52444,11148,326,13,13882,4271,140
437,4811,Scheduled air transportation,24,42581,9466,269,n/d,n/d,n/d,n/d
438,48111,Scheduled air transportation,24,42581,9466,269,n/d,n/d,n/d,n/d
439,4812,Nonscheduled air transportation,8,9864,1682,56,13,13882,4271,140
440,48121,Nonscheduled air transportation,8,9864,1682,56,n/d,n/d,n/d,n/d
441,483,Water transportation,25,162215,20455,546,16,92260,34046,890
442,4831,"Deep sea, coastal, and great lakes water transportation",18,133139,13345,397,n/d,n/d,n/d,n/d
443,48311,"Deep sea, coastal, and great lakes water transportation",18,133139,13345,397,n/d,n/d,n/d,n/d
444,4832,Inland water transportation,7,29075,7110,149,n/d,n/d,n/d,n/d
445,48321,Inland water transportation,7,29075,7110,149,n/d,n/d,n/d,n/d
446,484,Truck transportation,378,304097,67386,2960,388,292716,59427,2864
447,4841,General freight trucking,296,258744,54203,2521,302,258130,50444,2470
448,48411,"General freight trucking, local",293,257839,54031,2512,n/d,n/d,n/d,n/d
449,48412,"General freight trucking, long-distance",3,n/d,n/d,n/d,n/d,n/d,n/d,n/d
450,4842,Specialized freight trucking,82,45353,13184,438,86,34585,8983,394
451,48421,Used household and office goods moving,14,12404,2547,108,n/d,n/d,n/d,n/d
452,48422,"Specialized freight (except used goods) trucking, local",63,30359,9986,302,n/d,n/d,n/d,n/d
453,48423,"Specialized freight (except used goods) trucking, long-distance",5,2591,649,29,n/d,n/d,n/d,n/d
454,485,Transit and ground passenger transportation,203,230685,63737,3201,189,142113,40582,2071
455,4851,Urban transit systems,9,n/d,n/d,n/d,6,1005,476,30
456,48511,Urban transit systems,9,n/d,n/d,n/d,n/d,n/d,n/d,n/d
457,4852,Interurban and rural bus transportation,11,2958,782,72,9,2361,462,31
458,48521,Interurban and rural bus transportation,11,2958,782,72,n/d,n/d,n/d,n/d
459,4853,Taxi and limousine service,15,16937,4786,143,15,4142,1469,77
460,48531,Taxi service,10,n/d,n/d,n/d,n/d,n/d,n/d,n/d
461,48532,Limousine service,5,4029,1091,68,n/d,n/d,n/d,n/d
462,4854,School and employee bus transportation,148,74975,15164,1635,146,88199,19049,1355
463,48541,School and employee bus transportation,148,74975,15164,1635,n/d,n/d,n/d,n/d
464,4859,Other transit and ground passenger transportation,20,70606,25569,952,n/d,n/d,n/d,n/d
465,48599,Other transit and ground passenger transportation,20,70606,25569,952,n/d,n/d,n/d,n/d
466,486,Pipeline transportation,13,88704,2698,88,11,4853,1183,48
467,4869,Other pipeline transportation,12,87425,2053,73,n/d,n/d,n/d,n/d
468,48691,Pipeline transportation of refined petroleum products,12,87425,2053,73,n/d,n/d,n/d,n/d
469,487,Scenic and sightseeing transportation,24,17636,3890,187,16,14214,2816,303
470,4871,"Scenic and sightseeing transportation, land",10,6748,1060,67,4,3956,1083,41
471,48711,"Scenic and sightseeing transportation, land",10,6748,1060,67,n/d,n/d,n/d,n/d
472,4872,"Scenic and sightseeing transportation, water",10,7398,2136,104,8,5612,1653,236
473,48721,"Scenic and sightseeing transportation, water",10,7398,2136,104,n/d,n/d,n/d,n/d
474,4879,"Scenic and sightseeing transportation, other",4,3489,693,16,n/d,n/d,n/d,n/d
475,48799,"Scenic and sightseeing transportation, other",4,3489,693,16,n/d,n/d,n/d,n/d
476,488,Support activities for transportation,177,1013091,164364,5772,169,432074,110789,3875
477,4881,Support activities for air transportation,32,269147,52370,2347,31,68494,17347,839
478,48811,Airport operations,13,168972,31495,1666,11,23086,10891,607
479,48819,Other support activities for air transportation,19,100176,20876,682,20,45408,6456,233
480,4883,Support activities for water transportation,26,301432,46750,1146,28,204887,46467,1444
481,48831,Port and harbor operations,6,n/d,n/d,n/d,9,165215,39056,823
482,48832,Marine cargo handling,11,57532,24683,765,8,30610,5129,508
483,48833,Navigational services to shipping,3,906,308,9,6,1157,398,38
484,48839,Other support activities for water transportation,6,6173,2504,50,5,7905,1883,76
485,4884,Support activities for road transportation,40,246605,16252,471,29,43546,8324,281
486,48841,Motor vehicle towing,29,42104,4508,204,n/d,n/d,n/d,n/d
487,48849,Other support activities for road transportation,11,204501,11744,267,n/d,n/d,n/d,n/d
488,4885,Freight transportation arrangement,73,186741,47236,1688,77,108983,37178,1205
489,48851,Freight transportation arrangement,73,186741,47236,1688,n/d,n/d,n/d,n/d
490,4889,Other support activities for transportation,6,9166,1755,119,4,6163,1473,106
491,48899,Other support activities for transportation,6,9166,1755,119,n/d,n/d,n/d,n/d
492,492,Couriers and messengers,61,180463,52265,1250,52,681492,55455,1494
493,4921,Couriers and express delivery services,35,159911,47340,1003,36,677383,54654,1446
494,49211,Couriers and express delivery services,35,159911,47340,1003,n/d,n/d,n/d,n/d
495,4922,Local messengers and local delivery,26,20552,4925,248,16,4109,801,47
496,49221,Local messengers and local delivery,26,20552,4925,248,n/d,n/d,n/d,n/d
497,493,Warehousing and storage,68,296430,38705,1296,64,244969,47518,2030
498,4931,Warehousing and storage,68,296430,38705,1296,64,244969,47518,2030
499,49311,General warehousing and storage,49,191519,29998,1055,46,185838,38404,1637
500,49312,Refrigerated warehousing and storage,6,4883,913,37,5,13484,1976,202
501,49313,Farm product warehousing and storage,n/d,n/d,n/d,n/d,1,n/d,n/d,n/d
502,49319,Other warehousing and storage,13,100028,7794,203,12,41083,6910,184
503,51,Information,868,14705619,841980,19872,727,12342587,542569,22610
504,511,Publishing industries (except internet),107,n/d,n/d,n/d,n/d,n/d,n/d,n/d
505,5111,"Newspaper, periodical, book, and directory publishers",76,185786,89557,2052,83,271207,75451,1785
506,51111,Newspaper publishers,40,115014,46183,854,35,225319,63415,1439
507,51112,Periodical publishers,7,11328,5526,141,16,8295,3348,87
508,51113,Book publishers,8,28014,27741,834,12,24083,5689,130
509,51114,Directory and mailing list publishers,4,n/d,n/d,n/d,n/d,n/d,n/d,n/d
510,51119,Other publishers,17,11843,3988,99,19,13352,2941,124
511,5112,Software publishers,31,n/d,n/d,n/d,n/d,n/d,n/d,n/d
512,51121,Software publishers,31,n/d,n/d,n/d,n/d,n/d,n/d,n/d
513,512,Motion picture and sound recording industries,70,159406,19530,1772,83,133025,23769,1830
514,5121,Motion picture and video industries,68,158359,19366,1768,76,132489,23606,1818
515,51211,Motion picture and video production,26,11962,2478,216,26,19401,4720,105
516,51212,Motion picture and video distribution,3,10328,1229,67,n/d,n/d,n/d,n/d
517,51213,Motion picture and video exhibition,33,n/d,n/d,n/d,n/d,n/d,n/d,n/d
518,51219,Postproduction services and other motion picture and video industries,6,4553,1016,31,10,4681,1462,44
519,5122,Sound recording industries,n/d,n/d,n/d,n/d,7,537,163,n/d
520,515,Broadcasting (except internet),86,365926,69123,1621,96,266401,80182,1903
521,5151,Radio and television broadcasting,84,356177,65654,1568,89,259647,77724,1842
522,51511,Radio broadcasting,64,69474,12869,528,66,48648,15494,626
523,51512,Television broadcasting,20,286703,52785,1039,23,210999,62230,1216
524,5152,Cable and other subscription programming,n/d,n/d,n/d,n/d,7,6754,2457,61
525,517,Telecommunications,397,3236332,445992,9871,284,2378200,237922,10725
526,5173,Wired and wireless telecommunications carriers,338,3139550,421067,8913,225,2227003,192441,8990
527,51731,Wired and wireless telecommunications carriers,338,3139550,421067,8913,n/d,n/d,n/d,n/d
528,5174,Satellite telecommunications,5,10442,1596,74,4,3670,389,n/d
529,51741,Satellite telecommunications,5,10442,1596,74,n/d,n/d,n/d,n/d
530,5179,Other telecommunications,54,86339,23327,882,55,147527,45092,1718
531,51791,Other telecommunications,54,86339,23327,882,n/d,n/d,n/d,n/d
532,518,"Data processing, hosting, and related services",123,526140,159866,3463,104,491120,81420,5246
533,5182,"Data processing, hosting, and related services",123,526140,159866,3463,104,491120,81420,5246
534,51821,"Data processing, hosting, and related services",123,526140,159866,3463,n/d,n/d,n/d,n/d
535,519,Other information services,85,101594,22682,688,63,100225,30154,895
536,5191,Other information services,85,101594,22682,688,63,100225,30154,895
537,51911,News syndicates,3,482,193,13,5,1135,575,17
538,51912,Libraries and archives,10,5451,1352,61,9,5172,1674,81
539,51913,Internet publishing and broadcasting and web search portals,42,64073,13538,413,16,55618,11372,230
540,51919,All other information services,30,31587,7599,200,33,38301,16534,567
541,52,Finance and insurance,1785,14357432,1444679,31928,1791,14644495,1172737,30950
542,522,Credit intermediation and related activities,981,4556130,759650,18650,1044,6164175,593308,17609
543,5221,Depository credit intermediation,627,3638230,600575,14797,685,4214135,400402,12217
544,52211,Commercial banking,393,3025129,479672,10666,n/d,n/d,n/d,n/d
545,52212,Savings institutions,13,n/d,n/d,n/d,23,165217,27764,745
546,52213,Credit unions,220,489643,100051,3673,181,319827,68846,2636
547,5222,Nondepository credit intermediation,285,834236,135546,3160,267,1893770,168514,4514
548,52221,Credit card issuing,3,n/d,n/d,n/d,n/d,n/d,n/d,n/d
549,52222,Sales financing,26,417216,53601,930,25,335685,21645,765
550,52229,Other nondepository credit intermediation,256,408147,81191,2219,238,1251295,102684,2543
551,5223,Activities related to credit intermediation,69,83665,23530,693,92,56269,24392,880
552,52231,Mortgage and nonmortgage loan brokers,10,14957,6410,195,7,11841,3723,105
553,52232,"Financial transactions processing, reserve, and clearinghouse activities",21,27584,4323,126,33,10377,12865,428
554,52239,Other activities related to credit intermediation,38,41122,12796,372,52,34052,7805,347
555,523,"Securities, commodity contracts, and other financial investments and related activities",156,548869,131476,1558,139,326759,121020,1715
556,5231,Securities and commodity contracts intermediation and brokerage,40,187781,53968,454,34,152919,92057,962
557,52311,Investment banking and securities dealing,9,10976,2188,33,11,11697,5998,69
558,52312,Securities brokerage,27,168849,51127,411,21,141118,85284,851
559,52314,Commodity contracts brokerage,4,n/d,n/d,n/d,n/d,n/d,n/d,n/d
560,5239,Other financial investment activities,116,361088,77509,1104,105,173840,28963,754
561,52392,Portfolio management,27,254063,56008,666,n/d,n/d,n/d,n/d
562,52393,Investment advice,59,47849,10333,209,n/d,n/d,n/d,n/d
563,52399,All other financial investment activities,28,57869,11033,219,n/d,n/d,n/d,n/d
564,524,Insurance carriers and related activities,645,9192412,548595,11647,608,8153561,458408,11625
565,5241,Insurance carriers,275,8567384,403485,8850,271,7696270,351495,9111
566,52411,"Direct life, health, and medical insurance carriers",150,6837866,270709,6436,152,6405470,208118,6090
567,52412,"Direct insurance (except life, health, and medical) carriers",118,1654514,131448,2399,110,1286606,141668,2987
568,52413,Reinsurance carriers,7,75004,1328,15,n/d,n/d,n/d,n/d
569,5242,"Agencies, brokerages, and other insurance related activities",370,625029,145111,2797,337,457292,106914,2515
570,52421,Insurance agencies and brokerages,323,405999,104544,2044,300,379799,90954,2011
571,52429,Other insurance related activities,47,219031,40567,754,37,77492,15960,504
572,525,"Funds, trusts, and other financial vehicles",3,60021,4957,72,n/d,n/d,n/d,n/d
573,53,Real estate and rental and leasing,1672,1617282,322424,13101,1592,1465763,262402,11310
574,531,Real estate,1201,1090732,223351,9385,1104,1008313,177704,7480
575,5311,Lessors of real estate,792,783342,100517,3846,744,831746,108929,4509
576,53111,Lessors of residential buildings and dwellings,341,182693,28860,1636,241,148500,31920,1716
577,53112,Lessors of nonresidential buildings (except miniwarehouses),416,560644,63141,1976,455,667467,69492,2460
578,53113,Lessors of miniwarehouses and self-storage units,25,31128,7694,205,31,11808,6377,270
579,53119,Lessors of other real estate property,10,8877,821,28,17,3972,1140,63
580,5312,Offices of real estate agents and brokers,156,76040,13369,556,104,27263,8962,359
581,53121,Offices of real estate agents and brokers,156,76040,13369,556,n/d,n/d,n/d,n/d
582,5313,Activities related to real estate,253,231351,109466,4984,256,149306,59814,2613
583,53131,Real estate property managers,170,171976,95152,4294,167,93392,49537,2294
584,53132,Offices of real estate appraisers,40,13102,2283,100,41,19541,3168,79
585,53139,Other activities related to real estate,43,46272,12030,589,48,36373,7109,240
586,532,Rental and leasing services,461,521208,97834,3677,483,450641,83158,3783
587,5321,Automotive equipment rental and leasing,136,262476,38515,1295,142,240280,28441,1161
588,53211,Passenger car rental and leasing,123,231433,33931,1151,120,195725,25719,964
589,53212,"Truck, utility trailer, and RV (recreational vehicle) rental and leasing",13,31044,4584,144,22,44555,2723,198
590,5322,Consumer goods rental,127,60601,12173,594,160,51680,22414,1120
591,53221,Consumer electronics and appliances rental,22,13418,3466,159,n/d,n/d,n/d,n/d
592,53228,Other consumer goods rental,105,47182,8706,434,n/d,n/d,n/d,n/d
593,5323,General rental centers,74,50079,11789,527,48,20692,4065,185
594,53231,General rental centers,74,50079,11789,527,n/d,n/d,n/d,n/d
595,5324,Commercial and industrial machinery and equipment rental and leasing,124,148050,35356,1261,133,137990,28238,1317
596,53241,"Construction, transportation, mining, and forestry machinery and equipment rental and leasing",66,72438,17078,743,85,93764,20154,1010
597,53242,Office machinery and equipment rental and leasing,4,5884,1177,34,1,n/d,n/d,n/d
598,53249,Other commercial and industrial machinery and equipment rental and leasing,54,69729,17101,484,47,44057,8050,308
599,533,Lessors of nonfinancial intangible assets (except copyrighted works),10,5341,1239,39,5,6809,1540,47
600,5331,Lessors of nonfinancial intangible assets (except copyrighted works),10,5341,1239,39,n/d,n/d,n/d,n/d
601,53311,Lessors of nonfinancial intangible assets (except copyrighted works),10,5341,1239,39,n/d,n/d,n/d,n/d
602,54,"Professional, scientific, and technical services",4490,4481246,1231711,34559,4044,3145282,1060800,49750
603,541,"Professional, scientific, and technical services",4490,4481246,1231711,34559,4044,3145282,1060800,49750
604,5411,Legal services,1316,590511,207368,5204,1288,595704,212665,21038
605,54111,Offices of lawyers,1220,542796,186602,4690,1212,558638,194645,20566
606,54119,Other legal services,96,47714,20765,513,76,37065,18019,472
607,5412,"Accounting, tax preparation, bookkeeping, and payroll services",711,368970,142295,4908,642,306175,129680,4734
608,54121,"Accounting, tax preparation, bookkeeping, and payroll services",711,368970,142295,4908,n/d,n/d,n/d,n/d
609,5413,"Architectural, engineering, and related services",623,638372,226276,6302,693,673717,204819,9607
610,54131,Architectural services,78,58321,17250,440,103,95884,25357,592
611,54132,Landscape architectural services,11,5045,1507,91,12,5503,1618,98
612,54133,Engineering services,388,485281,182375,4663,417,492449,154498,7949
613,54134,Drafting services,3,705,192,6,6,1459,254,19
614,54135,Building inspection services,8,2784,332,30,15,2279,1451,39
615,54136,Geophysical surveying and mapping services,6,3059,1089,47,7,4158,1132,50
616,54137,Surveying and mapping (except geophysical) services,16,3471,1344,67,19,3930,1471,74
617,54138,Testing laboratories,113,79708,22187,959,114,68055,19037,787
618,5414,Specialized design services,80,48886,12019,449,71,29744,6651,254
619,54141,Interior design services,16,4089,884,42,16,7136,1426,65
620,54142,Industrial design services,11,7697,1857,54,4,n/d,n/d,n/d
621,54143,Graphic design services,41,24563,7369,274,44,15708,4124,151
622,54149,Other specialized design services,12,12536,1908,79,7,2300,764,27
623,5415,Computer systems design and related services,295,522989,127875,2685,254,421250,115992,2588
624,54151,Computer systems design and related services,295,522989,127875,2685,n/d,n/d,n/d,n/d
625,5416,"Management, scientific, and technical consulting services",664,1503309,294690,8219,397,525975,207923,5116
626,54161,Management consulting services,508,1312457,254888,7166,288,464213,163919,4265
627,54162,Environmental consulting services,37,18195,7069,215,37,11767,6550,209
628,54169,Other scientific and technical consulting services,119,172657,32733,839,72,49995,37454,642
629,5417,Scientific research and development services,39,54623,33461,1082,46,42406,34204,1343
630,54171,"Research and development in the physical, engineering, and life sciences",35,44353,28795,896,41,42125,33403,1319
631,54172,Research and development in the social sciences and humanities,4,10269,4666,186,5,n/d,n/d,n/d
632,5418,"Advertising, public relations, and related services",316,394708,90517,2478,269,277974,79995,2412
633,54181,Advertising agencies,165,235154,69704,1488,136,187183,57434,1297
634,54182,Public relations agencies,53,32885,7081,323,41,36736,9168,590
635,54183,Media buying agencies,14,74681,3054,90,13,7564,2216,68
636,54184,Media representatives,11,3095,969,25,8,1019,1765,26
637,54185,Outdoor advertising,17,5534,962,49,19,21600,4410,123
638,54186,Direct mail advertising,6,5829,1166,56,6,3062,958,49
639,54187,Advertising material distribution services,9,1741,660,80,10,4468,953,112
640,54189,Other services related to advertising,41,35786,6921,365,36,16338,3090,144
641,5419,"Other professional, scientific, and technical services",446,358874,97208,3233,384,272340,68870,2657
642,54191,Marketing research and public opinion polling,22,13170,6551,276,19,13677,3210,122
643,54192,Photographic services,16,5349,911,59,39,6032,1717,88
644,54193,Translation and interpretation services,12,7081,2140,83,6,1191,1097,33
645,54194,Veterinary services,124,67008,17048,795,99,33059,8771,531
646,54199,"All other professional, scientific, and technical services",272,266266,70557,2020,221,218382,54072,1882
647,55,Management of companies and enterprises,108,1040588,342976,6709,88,835387,182603,3931
648,551,Management of companies and enterprises,108,1040588,342976,6709,n/d,n/d,n/d,n/d
649,5511,Management of companies and enterprises,108,1040588,342976,6709,n/d,n/d,n/d,n/d
650,55111,Management of companies and enterprises,108,1040588,342976,6709,n/d,n/d,n/d,n/d
651,56,Administrative and support and waste management and remediation services,1884,3197260,1445280,74461,1644,2948546,1447914,85049
652,561,Administrative and support services,1747,2805165,1365757,71498,1510,2592482,1369909,81948
653,5611,Office administrative services,404,789546,341684,10755,281,930492,320780,12072
654,56111,Office administrative services,404,789546,341684,10755,n/d,n/d,n/d,n/d
655,5612,Facilities support services,75,124440,51359,836,51,39405,13416,652
656,56121,Facilities support services,75,124440,51359,836,n/d,n/d,n/d,n/d
657,5613,Employment services,160,527754,310415,17511,112,466251,372803,24543
658,56131,Employment placement agencies and executive search services,35,166189,35308,2077,32,38994,34541,4301
659,56132,Temporary help services,111,293184,229276,13420,61,384933,304697,17689
660,56133,Professional employer organizations,14,68382,45831,2013,19,42323,33565,2553
661,5614,Business support services,133,165388,100982,4328,134,100924,48784,2934
662,56141,Document preparation services,21,9779,1955,92,22,7121,2144,97
663,56142,Telephone call centers,34,96392,80974,3296,15,35615,25052,1783
664,56143,Business service centers,22,3104,1072,87,31,8833,1857,115
665,56144,Collection agencies,37,35359,10393,521,46,33492,12019,653
666,56145,Credit bureaus,6,2850,773,9,7,3741,726,15
667,56149,Other business support services,13,17901,5813,320,13,12119,6983,268
668,5615,Travel arrangement and reservation services,153,88755,22626,1055,141,65039,20646,966
669,56151,Travel agencies,111,46039,10335,426,99,37857,10419,470
670,56152,Tour operators,26,15347,5577,323,20,12532,4981,222
671,56159,Other travel arrangement and reservation services,16,27370,6714,306,22,14651,5246,275
672,5616,Investigation and security services,340,696119,361815,22837,311,540651,355055,24433
673,56161,"Investigation, guard, and armored car services",220,593522,329748,21068,218,470292,331234,22847
674,56162,Security systems services,120,102596,32066,1769,93,70359,23820,1586
675,5617,Services to buildings and dwellings,415,364506,163081,13672,398,318277,174331,14333
676,56171,Exterminating and pest control services,71,27363,10804,873,66,31276,13617,761
677,56172,Janitorial services,149,255934,132476,11505,154,220516,131780,11835
678,56173,Landscaping services,139,63263,15205,1046,128,53849,22790,1423
679,56174,Carpet and upholstery cleaning services,9,1146,355,33,6,1511,483,36
680,56179,Other services to buildings and dwellings,47,16798,4238,214,44,11124,5661,278
681,5619,Other support services,67,48657,13797,504,82,131442,64091,2013
682,56192,Convention and trade show organizers,17,3867,1358,55,n/d,n/d,n/d,n/d
683,56199,All other support services,48,44429,12365,445,n/d,n/d,n/d,n/d
684,562,Waste management and remediation services,137,392096,79523,2962,134,356063,78006,3101
685,5621,Waste collection,51,182873,32016,1237,n/d,n/d,n/d,n/d
686,56211,Waste collection,51,182873,32016,1237,n/d,n/d,n/d,n/d
687,5622,Waste treatment and disposal,27,63345,10975,346,n/d,n/d,n/d,n/d
688,56221,Waste treatment and disposal,27,63345,10975,346,n/d,n/d,n/d,n/d
689,5629,Remediation and other waste management services,59,145877,36532,1379,n/d,n/d,n/d,n/d
690,56291,Remediation services,18,29864,9081,379,n/d,n/d,n/d,n/d
691,56292,Materials recovery facilities,26,109850,25924,917,n/d,n/d,n/d,n/d
692,56299,All other waste management services,15,6164,1527,82,n/d,n/d,n/d,n/d
693,61,Educational services,482,418303,149688,9443,440,462482,160972,9809
694,611,Educational services,482,418303,149688,9443,440,462482,160972,9809
695,6111,Elementary and secondary schools,3,638,270,51,n/d,n/d,n/d,n/d
696,61111,Elementary and secondary schools,3,638,270,51,n/d,n/d,n/d,n/d
697,6114,Business schools and computer and management training,48,33626,12469,685,35,19132,9129,473
698,61141,Business and secretarial schools,13,16611,7370,406,11,2112,2885,114
699,61142,Computer training,7,2590,1148,73,13,12584,5196,302
700,61143,Professional and management development training,28,14425,3951,207,11,4436,1048,57
701,6115,Technical and trade schools,84,186086,59190,3621,79,223922,78650,4028
702,61151,Technical and trade schools,84,186086,59190,3621,n/d,n/d,n/d,n/d
703,6116,Other schools and instruction,204,98306,38550,2932,208,91326,28823,2386
704,61161,Fine arts schools,27,3970,1447,132,27,4772,1540,118
705,61162,Sports and recreation instruction,26,5115,1463,99,27,9232,1865,107
706,61163,Language schools,20,8883,2567,169,14,8656,2312,163
707,61169,All other schools and instruction,131,80337,33072,2531,140,68665,23104,1996
708,6117,Educational support services,142,99643,39207,2153,118,128100,44369,2921
709,61171,Educational support services,142,99643,39207,2153,n/d,n/d,n/d,n/d
710,62,Health care and social assistance,7738,7885285,2085097,84933,7014,6098340,1842086,80913
711,621,Ambulatory health care services,6463,4276745,946059,37751,5924,2972294,792796,32623
712,6211,Offices of physicians,3536,1841461,379331,14368,3341,1358774,303372,12251
713,62111,Offices of physicians,3536,1841461,379331,14368,n/d,n/d,n/d,n/d
714,6212,Offices of dentists,887,219319,48060,3280,921,164286,45915,3067
715,62121,Offices of dentists,887,219319,48060,3280,n/d,n/d,n/d,n/d
716,6213,Offices of other health practitioners,893,567361,121126,4645,728,348389,121917,4083
717,62131,Offices of chiropractors,116,26586,7440,375,78,16665,3706,206
718,62132,Offices of optometrists,111,36844,7178,399,102,23011,5493,297
719,62133,Offices of mental health practitioners (except physicians),129,35413,10327,405,90,15005,32992,539
720,62134,"Offices of physical, occupational and speech therapists, and audiologists",209,109014,23821,1248,202,91600,24221,1309
721,62139,Offices of all other health practitioners,328,359505,72361,2219,256,202111,55505,1733
722,6214,Outpatient care centers,119,373889,64837,2124,107,278384,56919,2097
723,62141,Family planning centers,14,21278,3967,144,n/d,n/d,n/d,n/d
724,62142,Outpatient mental health and substance abuse centers,34,66504,9427,375,30,46840,9471,373
725,62149,Other outpatient care centers,71,286108,51443,1605,67,217708,43610,1543
726,6215,Medical and diagnostic laboratories,688,569940,151965,5985,575,436854,127643,5020
727,62151,Medical and diagnostic laboratories,688,569940,151965,5985,n/d,n/d,n/d,n/d
728,6216,Home health care services,104,242507,82968,3462,78,149267,67319,2845
729,62161,Home health care services,104,242507,82968,3462,n/d,n/d,n/d,n/d
730,6219,Other ambulatory health care services,236,462268,97770,3886,174,236339,69711,3259
731,62191,Ambulance services,96,35977,11127,846,n/d,n/d,n/d,n/d
732,62199,All other ambulatory health care services,140,426291,86644,3041,n/d,n/d,n/d,n/d
733,622,Hospitals,147,2961648,889026,31178,130,2824703,842036,32342
734,6221,General medical and surgical hospitals,105,2671405,815579,28901,75,2550973,752043,29042
735,62211,General medical and surgical hospitals,105,2671405,815579,28901,n/d,n/d,n/d,n/d
736,6222,Psychiatric and substance abuse hospitals,16,161543,34712,949,n/d,n/d,n/d,n/d
737,62221,Psychiatric and substance abuse hospitals,16,161543,34712,949,n/d,n/d,n/d,n/d
738,6223,Specialty (except psychiatric and substance abuse) hospitals,26,128700,38735,1329,33,223455,62144,2605
739,62231,Specialty (except psychiatric and substance abuse) hospitals,26,128700,38735,1329,n/d,n/d,n/d,n/d
740,623,Nursing and residential care facilities,488,195160,71151,5438,380,99592,63578,4762
741,6231,Nursing care facilities (skilled nursing facilities),74,48601,17057,1191,50,20456,13289,908
742,62311,Nursing care facilities (skilled nursing facilities),74,48601,17057,1191,n/d,n/d,n/d,n/d
743,6232,"Residential intellectual and developmental disability, mental health, and substance abuse facilities",73,41308,15964,953,63,26017,13821,789
744,62321,Residential intellectual and developmental disability facilities,28,9106,4047,305,30,4333,2311,133
