id,naics_code,code_description,num_establishments_2017,value_x1000_2017,payroll_x1000_2017,num_employees_2017,num_establishments_2012,value_x1000_2012,payroll_x1000_2012,num_employees_2012
158,32614,Polystyrene foam product manufacturing,5,n/d,n/d,n/d,n/d,n/d,n/d,n/d
159,32616,Plastics bottle manufacturing,10,149361,21588,651,n/d,n/d,n/d,n/d
160,32619,Other plastics product manufacturing,19,116306,19138,768,n/d,n/d,n/d,n/d
161,3262,Rubber product manufacturing,9,6828,1773,81,9,9706,1776,81
162,32621,Tire manufacturing,4,2442,682,54,n/d,n/d,n/d,n/d
163,32622,Rubber and plastics hoses and belting manufacturing,4,4358,1088,25,n/d,n/d,n/d,n/d
164,327,Nonmetallic mineral product manufacturing,98,192191,32130,1482,117,365630,58058,2286
165,3271,Clay product and refractory manufacturing,3,2138,183,7,5,4176,260,n/d
166,3272,Glass and glass product manufacturing,6,21145,2542,158,4,5249,1204,72
167,32721,Glass and glass product manufacturing,6,n/d,n/d,n/d,n/d,n/d,n/d,n/d
168,3273,Cement and concrete product manufacturing,82,166544,28752,1286,97,350138,55196,2121
169,32731,Cement manufacturing,8,36824,6664,179,9,118359,16722,429
170,32732,Ready-mix concrete manufacturing,41,83684,12072,526,47,149076,20155,751
171,32733,"Concrete pipe, brick, and block manufacturing",14,13537,3088,165,20,29384,5547,333
172,32739,Other concrete product manufacturing,19,32500,6928,416,21,53319,12771,610
173,3279,Other nonmetallic mineral product manufacturing,7,2364,652,31,11,6066,1397,79
174,32799,All other nonmetallic mineral product manufacturing,7,2364,652,31,n/d,n/d,n/d,n/d
175,331,Primary metal manufacturing,39,90476,10517,524,43,113258,12736,792
176,3311,Iron and steel mills and ferroalloy manufacturing,9,13895,2176,94,15,38120,5229,253
177,33111,Iron and steel mills and ferroalloy manufacturing,9,13895,2176,94,n/d,n/d,n/d,n/d
178,3313,Alumina and aluminum production and processing,23,70000,7316,366,17,19242,5116,342
179,33131,Alumina and aluminum production and processing,23,70000,7316,366,n/d,n/d,n/d,n/d
180,3314,Nonferrous metal (except aluminum) production and processing,n/d,n/d,n/d,n/d,3,n/d,n/d,n/d
181,3315,Foundries,4,4154,816,45,4,23703,1679,110
182,33151,Ferrous metal foundries,3,n/d,n/d,n/d,n/d,n/d,n/d,n/d
183,332,Fabricated metal product manufacturing,189,393178,76789,3810,197,481938,81175,4200
184,3321,Forging and stamping,6,4783,1027,50,9,9497,1444,82
185,33211,Forging and stamping,6,4783,1027,50,n/d,n/d,n/d,n/d
186,3323,Architectural and structural metals manufacturing,87,180808,42221,2265,102,251985,48252,2572
187,33231,Plate work and fabricated structural product manufacturing,20,46028,8986,494,n/d,n/d,n/d,n/d
188,33232,Ornamental and architectural metal products manufacturing,67,134780,33235,1771,n/d,n/d,n/d,n/d
